imie;nazwisko;miasto;ulica;nr;mieszkanie;data_ur;pesel
Krystian;LEKHNIAK;Syta;ulica Kociszewskich;20;62;09.03.1935;35030951993
Wojciech;MARTEK;Chomiąża;ulica Operowa;18;98;21.04.1934;34042184645
Tymoteusz;KESEN;Aleksandrówka;ulica Odeska;97;6;09.06.1985;85060966592
Karolina;CZAKAN;Niziny;ulica Jarosława Dąbrowskiego;22;36;04.10.1965;65100498951
Igor;PAWLOWSKA;Kapkaz;ulica Obozowa;81;79;28.09.1934;34092898100
Franciszek;AWTUCH;Dąbrowica;ulica IV Poprzeczna;1;72;08.12.1952;52120828836
Amelia;KAŁĄTEK;Węgierska Górka;Zaułek Braci Pakulskich;19;17;17.12.1925;25121789499
Helena;HUSSEY;Międzyłuże;ulica Cypriana Kamila Norwida;3;26;18.09.1969;69091867899
Gabriela;MATYSIAK-NOWICKA;Moniaki;ulica Budy;100;44;13.08.1921;21081319445
Maciej;DADOIAN;Orsy;ulica Sandomierska;42;97;12.11.1913;13111266586
Oliwier;BEŁC;Wyczółki;ulica Morelowa;43;43;23.04.1921;21042317179
Gabriel;KRYNIGER;Kolonia nad Rzeką;Rynek Nowego Miasta;50;51;07.02.1960;60020797345
Ignacy;BRETTSCHNEIDER;Stara Wieś;Plac Jana Henryka Dąbrowskiego;52;14;26.03.1933;33032678621
Dawid;ERNST CHABERMAN;Zalesie;ulica Jerzego Waldorffa;86;66;18.07.1955;55071886591
Aleksander;KLIMAN;Siuzdaki;ulica Marii Pawlikowskiej-Jasnorzewskiej;92;84;04.04.1926;26040456180
Michał;SCHAMBERGER;Wola Będkowska;Pasaż Henryka Sławika;18;72;23.02.1915;15022394401
Barbara;SZWAMBER;Kamionka;ulica Folwarczna;20;27;02.07.1978;78070277989
Karolina;BERENGER;Zagorzyce;ulica Włodzimierza Dolańskiego;39;82;01.06.1933;33060118018
Barbara;NADOL;Poklasne;ulica Żołędziowa;26;50;08.04.1986;86040835883
Emilia;NYSHCHA;Garbowo-Kolonia;ulica Samowarowa;89;73;23.11.1949;49112376612
Katarzyna;ROZWANDOWICZ;Zabrnie;Zakątek Złotej Kaczki;26;70;27.12.1991;91122723832
Oliwia;MIKIEL VEL NIKIEL;Dębinka;ulica Filmowa;14;23;26.08.1959;59082625062
Błażej;BILUHA;Pniewo Wielkie;ulica Kuniecka;72;67;05.06.1952;52060527814
Jakub;MINUZZI;Stojeszyn Drugi;ulica Maciejowicka;72;32;01.11.1987;87110140353
Ksawery;DE BOER;Jastrzębie;ulica Urocza;38;66;24.12.1930;30122418738
Magdalena;PLEŃKOWSKA;Pod Bubnowem;ulica Odległa;61;42;10.08.1975;75081011013
Blanka;OLACHOWSKA;Dół;ulica Żonkilowa;35;84;01.12.1942;42120182863
Dominika;KOŚCINA;Jabłonna Druga;ulica Zielonych Traw;74;30;03.04.1917;17040342777
Hanna;TUBICZ;Turki;ulica Wiklinowa;88;45;19.04.1939;39041936304
Mateusz;KOZŁOWSKI-WOJTYCZKA;Pszczelnik;ulica Wolfganga Amadeusza Mozarta;22;78;06.11.1968;68110682007
Jagoda;DUBLANIK;Kownacica;Skwer 1 Dywizji Pancernej WP;91;32;27.07.1918;18072726911
Kornelia;DZICZKOWSKA;Stegna;ulica Antenowa;50;41;02.03.1927;27030246675
Laura;IVZHENKO;Płoszkowo;ulica Weteranów;30;25;06.03.1990;90030613872
Błażej;DAVYSKIBA;Borzysław;ulica św. Antoniego;83;2;21.12.1932;32122145025
Karolina;MICHURSKA;Krzeptów;ulica Elsterska;27;16;02.07.1913;13070211309
Łucja;BANKOWSKI;Toplin;ulica Józefa Mianowskiego;58;74;20.03.1962;62032021903
Lena;KADUCZAK;Kętrzyńska Kępa;ulica Pocztowa;3;35;03.12.1915;15120326244
Leon;KALUKIN;Gorylówka;ulica Andrzeja Szomańskiego;39;22;14.05.1998;98051422909
Piotr;NARZA;Osowa Łaszewska;ulica Gabrieli Zapolskiej;63;55;08.02.1988;88020880778
Wiktor;CARETTA;Krochowa;ulica Ludwika Paszkiewicza;19;20;26.04.1989;89042679754
Miłosz;SOBAŃ;Niewino Popławskie;ulica Owsiana;39;96;25.08.1998;98082587169
Karolina;GLOMBINSKA;Gielówki;ulica Toruńska;12;6;19.10.1979;79101939060
Kacper;SLITER VEL SZRETER;Kołodzieje;ulica Krasnowolska;17;89;08.02.1990;90020834558
Wojciech;KYMSKYI;Podrowiny;ulica Tomcia Palucha;50;95;06.03.1994;94030619087
Julian;NAVUMIK;Głażówka;ulica Globusowa;59;80;02.12.1979;79120277846
Piotr;TOTLEBEN;Błonie;ulica Zdrowa;9;73;10.10.1919;19101082008
Wiktoria;AÇIL;Nowy Widzim;ulica Hoserów;28;94;14.04.1951;51041482578
Gabriel;ILAK;Parszczenica;ulica Łukiska;52;26;05.01.1983;83010523888
Nina;BIBAK;Dwór;ulica Puchalska;32;80;09.09.1914;14090994623
Martyna;CZARNOMYS;Korytyna;ulica Husarska;5;59;12.11.1926;26111239546
Martyna;SZCZEPAŃSKA-CHOMIK;Orłowiec;ulica Denarowa;11;2;24.11.1977;77112469530
Maja;KADE;Liźniowiec;ulica Liczydło;40;76;20.03.1938;38032076498
Wiktoria;MOCKOWSKA;Zawodzie;ulica Antoniego Kocjana;38;15;30.11.1968;68113074829
Igor;TICU;Stare Berezowo;Bulwar Flotylli Pińskiej;81;77;22.01.1909;09012287391
Piotr;LIDZKI;Glinianka;ulica Leonarda Buczkowskiego;68;12;16.06.1987;87061613056
Liliana;BORBANIUK;Ostrów;ulica Szulborska;79;19;03.10.1938;38100359519
Aleksandra;ŚWIĘTA;Srokówka;ulica Stanisława Hempla;10;20;29.01.1989;89012915644
Karolina;NITZKA;Białopole-Kolonia;ulica Korsarska;58;100;19.02.1944;44021969562
Kamil;KARNIAICHUK;Plac Mańdyrów;ulica Romualda Gutta;11;68;27.11.1925;25112775640
Alan;YABLUCHANSKYI;Chojeczno-Cesarze;Park Zasława Malickiego;48;11;12.11.1949;49111217354
Zuzanna;RAJZNER;Lasowice;ulica Włodzimierza Dolańskiego;28;21;12.07.1914;14071279562
Zofia;BESSER;Żywocin;ulica Piotra Maszyńskiego;5;10;15.05.1959;59051518083
Martyna;OHORILKO;Nowa Wieś;ulica Antoniego Ponikowskiego;88;3;08.07.1998;98070864538
Kinga;MACLACHLAN;Buławówka;ulica Kanałowa;42;24;05.01.1924;24010546483
Antonina;INATLEWSKA;Cybulki;ulica Zabraniecka;1;1;21.12.1942;42122165775
Kaja;ŁĘŻYK;Zieleniewo;ulica Gościnna;15;7;17.01.1926;26011756365
Jan;MORGULSKI;Krzyszkowice;ulica Wielbarska;35;45;09.07.1923;23070929745
Wojciech;GURKO;Stary Wodzisław;ulica Leona Berensona;38;1;22.02.1962;62022255206
Ewa;DAO NGOC;Krakówki-Zdzichy;ulica Poli Gojawiczyńskiej;95;51;10.04.1992;92041020083
Michał;AFTKA;Rutki;ulica Dziewanny;4;76;25.12.1961;61122532080
Agata;JIMÉNEZ SAAVEDRA;Gawroniec;ulica Iberyjska;75;79;12.02.1953;53021283763
Iga;BRECKE;Dobrówko;ulica Na Bateryjce;25;26;06.09.1956;56090699733
Nina;PENCZERZYŃSKA;Lubomin;ulica Łagowska;29;31;01.11.1998;98110152485
Nina;BUDRYK;Kondraty;ulica Stefana Czarnieckiego;38;93;04.10.1942;42100473191
Julian;ALVES DA SILVA PINHO;Łęgorze;ulica Rajska;81;4;21.08.1984;84082158761
Sebastian;TOMIEC;Piaski Starowiejskie;ulica Komunardów;29;36;05.02.1972;72020560773
Alan;STIFF;Węgielsztyn;ulica Narcyzowa;91;38;01.12.1984;84120147181
Szymon;SZTRĄF;Zapilniki;Aleja Jerzego Strzałkowskiego;7;86;02.10.1925;25100250731
Laura;FILJI;Huta;ulica Litewska;49;67;08.12.1917;17120814899
Helena;SAKSON-SZAFRAŃSKA;Uciąchy;ulica Szczotkarska;81;67;25.04.1938;38042564451
Nadia;DALETSKAYA;Żelisławice;ulica Jaspisowa;53;74;15.08.1984;84081528433
Marta;TOGNERI;Rakowo;ulica Fantazyjna;89;91;27.06.1934;34062729761
Maja;PRZYMUSIŃSKA;Samolubie;ulica Władysława Laskonogiego;83;3;26.11.1954;54112652505
Dominika;GRENNAN;Podpołudnik;Aleja Legionów Piłsudskiego;93;74;22.11.1946;46112235415
Michalina;SAOUROMOU;Sulęcin-Kolonia;ulica Piołunowa;19;45;19.08.1958;58081957918
Wiktoria;TAWCZYŃSKA;Bielawy;ulica Strzelców;95;81;29.10.1927;27102951642
Alicja;NAKHOUL;Lisiki;ulica Borecka;75;86;03.10.1936;36100321107
Błażej;DEL FRATE;Gniezno;ulica Poetów;89;54;12.09.1964;64091257068
Bartosz;VINCZE;W Dole;ulica Grotowska;31;88;12.06.1971;71061258478
Liliana;MCMICHAEL;Ośrodek-Miasto;ulica Godowska;92;80;01.07.1990;90070152584
Patrycja;IŞBARA;Odolanowizna;ulica Opieńki;47;95;12.06.1945;45061228140
Nina;GUŠTIN;Osina;ulica Korzeniowa;6;69;22.01.1954;54012220674
Nikodem;SIEMIENIUK VEL MORAWSKI;Stójło;ulica Popradzka;69;36;19.06.1969;69061941314
Patryk;ANDRYSHEVSKYI;Turkowice;ulica Radłowa;94;70;16.02.1933;33021693530
Filip;KOCIUBA;Pisarzówka;ulica Byszewska;94;52;28.10.1937;37102853519
Anna;REJNIK;Bargłów Kościelny;Skwer Ronalda Reagana;67;15;28.08.1922;22082876694
Marcel;KLIUVAK;Nowa Wieś;ulica Garłaczy;48;23;18.12.1956;56121839951
Alan;AMIRIPARIAN;Stawiszyn;ulica Tamka;19;89;09.03.1976;76030972768
Szymon;KWASEK;Równica;ulica Anieli Krzywoń;31;48;23.09.1990;90092378445
Ewa;MATEBLEWSKA;Leśniczówka Mirzec;ulica Miedziana;17;62;14.05.1982;82051432957
Magdalena;KAZIMIERUK;Niemarzyn;ulica Nefrytowa;58;79;08.11.1909;09110864546
Weronika;CARION;Bęściów;ulica Fundamentowa;79;7;26.02.1983;83022635404
Leon;MOJZYKIEWICZ;Mierzączka Duża;ulica Witki;50;46;04.03.1924;24030428031
Paulina;HACURA;Łążek;ulica Kazimierza Wierzyńskiego;71;60;06.09.1938;38090616442
Anna;ANDRUSZCZYSZYN;Pod Las;ulica Szczęsna;95;47;11.10.2000;00101164631
Kornelia;LAWNY;Sztutowo;ulica Karatowa;78;62;23.12.1980;80122397334
Jakub;ANDERSSON;Dział;ulica Ukryty Raj;46;88;15.08.1917;17081515323
Mateusz;DE RYCKER;Daszewo;ulica Nowoursynowska;89;6;10.08.1965;65081077261
Maria;POPOWSKA-BIGOS;Zembrzus Wielki;ulica Żelazowska;62;85;08.12.1930;30120887119
Maja;WOJSZCZYK;Dybówko;ulica Dziennikarska;7;11;12.12.1994;94121215001
Anna;MERCHOLC;Huby;ulica Eugeniusza Kwiatkowskiego;17;47;29.02.1925;25022914435
Patryk;ADASIEWICZ;Tylicz;ulica Lędzka;34;72;14.12.1943;43121464701
Maksymilian;TRUBETSKOI;Kiersztanowo;ulica Szeligowska;72;46;10.07.1933;33071049122
Mateusz;GOCELL;Pod Lasem;ulica Żużlowa;59;53;25.05.1946;46052595496
Oliwier;SYNYTSKYI;Ołucza;ulica Zygmunta Modzelewskiego;94;4;23.05.1983;83052318452
Izabela;PŁOCKE;Uśnik;ulica Obwodowa;7;71;22.01.1969;69012214573
Amelia;RUŻENKIEWICZ;Dębinka;ulica Leopolda Staffa;57;95;27.12.1993;93122799923
Pola;LEJDWARD;Pączewo;ulica Stargardzka;78;58;25.01.1952;52012570127
Karolina;IVANYSH;Edmundów;ulica Wygoda;40;91;24.02.1947;47022451005
Amelia;AUGUSTINCIC;Czekaj;ulica 27 Grudnia;21;31;30.11.1972;72113049726
Martyna;BRACŁAWIEC;Zakościele;ulica Józefa Supińskiego;22;33;24.08.1942;42082418046
Adrian;PECUJKO;Klasztor;ulica Tatarska;4;55;03.07.1917;17070359714
Patrycja;SAWITZKA;Czarny Las;ulica Grzywaczy;14;45;08.07.1976;76070859663
Nadia;KSIESKI;Dąbrowa;ulica Wyszkowska;18;49;03.04.1918;18040357295
Alicja;VASILEUSKA;Podjasień;ulica Walentego Skorochód-Majewskiego;28;99;26.02.1924;24022625778
Patryk;JARONIK;Wenecja;ulica Trojaka;41;65;09.06.1988;88060996960
Lena;DZIENDZIORA;Łagów;ulica Wodzisławska;23;36;05.09.1959;59090556439
Zofia;MYSAKOWEC;Pulsze;Skwer Stanisława Wisłockiego;64;64;24.10.1985;85102410368
Patrycja;KUBIECZ;Bocianowo;ulica Cytrusowa;83;44;10.07.1914;14071072959
Jagoda;KOLUBCZYŃSKA;Nadwiślanka;ulica Reprezentacyjna;14;85;18.01.1910;10011894807
Emilia;GINTOW;Świdry;Park Zbigniewa Herberta;46;29;13.11.1968;68111362716
Ewa;WALA-KOBIEROWSKA;Błażowa Dolna;ulica Różana;45;57;02.05.1906;06050278522
Helena;PITSKO;Borek;ulica Topolowa;38;57;17.11.1962;62111791300
Małgorzata;BRECHT;Tarnowiec;ulica Soplicka;92;80;15.02.1936;36021562086
Barbara;KEŠETOVIĆ;Bazylany;ulica Familijna;78;37;20.11.1906;06112089199
Jagoda;ŁUBOWICZ;Nielub;ulica Chylicka;33;10;05.03.1925;25030541607
Maria;NOWAK-OSTROWSKA;Jabconiowa;Rondo ks. Mieczysława Krygiera;94;53;04.03.1968;68030418077
Aleksandra;BONSCH;Przymiarki;ulica Welurowa;24;31;22.08.1977;77082225990
Michał;PYSZNY;Uhnin Sosnowski;ulica Traktorzystów;88;14;14.07.1932;32071443966
Filip;LAMKIEWICZ;Nawsie;Alejka „Płomyczek”;28;14;04.03.1915;15030490522
Szymon;HLAWICZKA;Łany;ulica Przy Bernardyńskiej Wodzie;68;1;11.11.1925;25111180422
Maja;MAKRIS;Sokolica;ulica Tadeusza Kulisiewicza;80;69;18.04.1954;54041828184
Gabriela;SIDASH;Budzisko;ulica Jubilerska;44;17;02.01.1931;31010213396
Milena;FUDALEWICZ;Cegielnia Mała;ulica Petyhorska;15;99;23.05.1915;15052351881
Mikołaj;JATOWSZYC;Ukazowe;Wiadukt Stanisława Markiewicza;90;75;18.03.1968;68031836252
Bartłomiej;WOJECKI;Filipów Drugi;ulica Bażancia;54;59;12.11.1923;23111258184
Aleksander;HAJER;Myśliwczów;Aleje Jerozolimskie;11;65;13.12.1952;52121395187
Nikodem;ROZMARYNOWICZ;Szczytniki;Park Romualda Traugutta;25;1;02.07.1942;42070218580
Julian;ZAGNAŃSKI;Wielkówka;ulica Zapłotek;28;81;04.07.1994;94070495015
Sebastian;FRYMARSKI;Lininek;ulica Choinkowa;45;9;22.01.1964;64012290384
Kornelia;TATUIKO;Rusinów;ulica Wczasowa;96;69;05.02.1942;42020552408
Magdalena;BUCHANAN;Góry;ulica Zapole;69;57;14.03.2000;00031434436
Stanisław;SAPKO;Młynowiec;ulica Milanowska;64;51;05.01.1984;84010551753
Bartłomiej;PRYADKO;Biedaszki;ulica Zbierska;51;83;12.09.1949;49091231573
Lena;ABOU-RIALAH;U Maliny;ulica Dziecięca;86;47;03.01.1943;43010392568
Weronika;CHAŁAS;Podlas;ulica Michaliny;98;57;17.10.1996;96101738229
Patrycja;LAROSA;Dębowiec;ulica Kogucia;42;19;14.01.1960;60011414461
Wojciech;WYMIĘTOWSKI;Nowe Bielice;Rondo Małej Brzozy;76;19;30.05.1989;89053079289
Weronika;SORGOWICKA;Zakocie;Rondo Józefa Maroszka;95;95;28.12.1990;90122810465
Zuzanna;FLAZIK;Wandalin;ulica Ireny Kosmowskiej;28;42;19.12.1964;64121942226
Martyna;GOLTSCHE;Wygoda;ulica Bruszewska;33;70;23.05.1929;29052395679
Pola;EL IDRISSI;Klinkiernia;ulica Marii Bohuszewiczówny;92;45;18.12.1935;35121840628
Pola;WANDEL;Bujary;ulica Zagajnikowa;10;75;17.01.1983;83011778378
Ignacy;LITOVKIN;Michny;ulica Tykocińska;66;69;13.04.1909;09041366517
Franciszek;PRODANIUK;Izydorów;ulica Elektoralna;62;42;21.09.1992;92092173672
Paweł;OKUPNIK;Marki;ulica Poziomkowa;49;76;02.09.1976;76090230225
Paweł;YAROVY;Sołtystwo;ulica Łużycka;61;2;24.12.1996;96122473816
Mikołaj;JEWŁOSZEWICZ-BUDRIK;Gulczewo;ulica Plażowa;38;83;13.10.1995;95101369357
Tymon;KOPCISZ;Gdeszyn;ulica Ludwika Idzikowskiego;36;80;21.04.1928;28042110353
Patrycja;OKOŁO-KUŁAK;Lubsza;ulica Starowiejska;8;53;18.10.1973;73101815603
Wiktoria;GNEROWICZ;Zarzecze;ulica Stanisława Worcella;79;6;04.07.1943;43070454177
Wiktor;JAUSSERAND;Konarzewo-Skuze;ulica Ignacego Łukasiewicza;98;5;11.08.1944;44081198832
Oskar;ORJUHOVSCHI;Lasek;ulica Anny German;62;79;26.03.1950;50032674482
Barbara;DE-PARIS;Pasieka;ulica Mariana Pisarka;55;86;25.09.1992;92092540173
Dominik;FODEROWICZ;Najbrówka;ulica Romualda Gutta;23;43;05.08.1940;40080549802
Blanka;ZUŃ;Szymanów;ulica Himalajska;5;22;07.07.1983;83070798359
Lena;VAN GENT;Warnołęka;ulica Miedziana;86;85;16.03.1936;36031617869
Sebastian;TATLI;Kreki;ulica Maltańska;68;63;28.09.1948;48092813728
Nikodem;KOLIEV;Łaziska;ulica Ponczowa;49;55;21.02.1998;98022112077
Łucja;PADHURSKAYA;Firlant;ulica Brzoskwiniowa;78;42;27.04.1908;08042794596
Klaudia;PLIASUN;Grodziec Śląski;ulica Gustawa;90;28;11.09.1958;58091138950
Nikola;ROHOVENKO;Nosibądy;ulica Janczarów;14;2;17.02.1971;71021782508
Amelia;CZUPIEL;Zabartowo-Wybudowania;ulica Kołodziejska;87;54;01.03.1922;22030148713
Wojciech;WAMPOSZYC;Wójtowiczówka;ulica Ruciańska;78;79;14.11.1997;97111436425
Antoni;DAĞ;Skarbimierzyce;Rondo Unii Europejskiej;43;55;07.01.1972;72010798637
Marcin;SZUFRYN;Brzeźniak;ulica Antenowa;6;31;25.12.1953;53122558322
Błażej;ZLOTSKYI;Stary Wylezin;Szkolny Park Sportowy im. Janusza Kusocińskiego;88;2;04.03.1907;07030463287
Nina;POSTICA;Stare Łepki;ulica Nalewki;29;54;25.03.1958;58032553383
Oskar;SINAWSKI;Dziadowice;ulica Kaśki Kariatydy;19;71;06.02.1999;99020670734
Julian;SUWADA;Maruszewiec Pofolwarczny;ulica Remontowa;78;85;26.03.1970;70032622756
Kacper;KIFFER;Jabłowo-Cegielnia;ulica Łuki Wielkie;69;96;04.03.1949;49030432801
Maria;KIETZMAN;Kawęczyn;ulica Kazimierza Deyny;18;84;13.01.1925;25011387935
Paulina;CHALAWA;Albrechtówka;ulica Na Bateryjce;65;30;26.07.1947;47072643035
Gabriela;PATHAN;Łagoszów Wielki;ulica Nasza;40;40;09.01.1933;33010951612
Bartłomiej;HOŚCIŁO;Lucynowo;ulica Jana Matejki;30;97;01.10.1992;92100142245
Magdalena;BIRINA;Duży Las;ulica Rogatkowa;55;73;30.10.1940;40103022798
Hubert;FAKHRI;Czepelówka;ulica Żołny;9;44;26.08.1909;09082641815
Mikołaj;KOŃDZIOŁKA;Sądrożyce;ulica Boczna;77;69;27.06.1967;67062786585
Blanka;ZADOBIUK;Gola;ulica Długa;54;84;13.03.1913;13031336633
Wojciech;KORNET;Grodzkie;ulica Annopol;52;87;29.04.1915;15042959918
Bartosz;HAENDEL;Zręby;ulica Teodozji;46;23;13.10.1906;06101379487
Kinga;TWORO;Małe Drzewce;ulica Jana Styki;75;65;28.09.1952;52092848129
Maja;LITSOVSKA;Stypuły;ulica Słoneczna;25;39;21.12.1960;60122131678
Adam;HALCHUN;Graby;ulica Kluczborska;13;40;11.05.1916;16051168469
Łukasz;MERWID;Kościerniczka;ulica Jana Kochanowskiego;62;78;04.06.1909;09060414444
Helena;GRYBKO;Skotnica;ulica Przechodnia;51;26;09.09.1912;12090933470
Blanka;BARTWICKA;Kielnica;ulica Drogowa;27;63;21.11.1923;23112177491
Michalina;MICUS;Liszki;ulica Czesława Przybylskiego;2;51;14.12.1961;61121433941
Kaja;DEMBOVSKA;Kluczbork;ulica Fabryczna;81;81;25.08.1996;96082566581
Michalina;KASIURAK;Jakubowo;ulica Hanki Czaki;74;25;03.02.1919;19020397218
Nikola;KOMINACKA;Góry;ulica Morszyńska;82;1;10.02.1995;95021046394
Alicja;PRZEOREK;Przezchlebie;ulica 6 Sierpnia;81;66;07.12.1998;98120782547
Ewa;KŁOBUT;Torfy;ulica Przerwana;49;22;05.02.1997;97020599892
Dominik;FYRSTENBERG;Urbanowo;ulica Szczerbca;53;73;25.06.1957;57062562288
Piotr;CHAWARSKI;Biała;ulica Tapetowa;65;57;13.10.1927;27101390711
Jagoda;POTACZEK;Dwór;ulica Bracławska;41;86;14.05.1998;98051483182
Iga;RECHUL;Zakupniki;ulica Dusznicka;70;11;16.02.1992;92021646436
Mikołaj;ZVERKO;Straszewo;ulica Franciszka Marii Lanciego;51;62;19.08.1943;43081980034
Jan;BIELOCERKOWSKI;Suchowola;ulica Pułku AK „Waligóra”;76;88;06.07.1913;13070625803
Zuzanna;ZYPER;Witynie;ulica Fryderyka Chopina;12;22;02.06.1969;69060225710
Dominika;ZHUCHKOVSKA;Katrynka;ulica Cieplarniana;31;70;09.09.1983;83090951393
Milena;PIETRANOWICZ;Trachy;ulica Kosodrzewiny;21;92;24.12.1982;82122435087
Alicja;HIŻYK;Diabli Młyn;ulica Tuzinowa;62;65;14.09.1909;09091416127
Franciszek;MINCZEW;Kępa;ulica Czapli;47;60;23.04.1944;44042327661
Patrycja;CIEMKA;Sokolniki Klonowskie;ulica Koniczynowa;66;38;17.09.1920;20091737084
Karol;MANOTA;Lubieniów;ulica Chryzantemy;78;87;07.11.1940;40110788712
Ksawery;WIERSZYLO;Krosinek;ulica Borowiecka;14;77;01.07.1974;74070112990
Jakub;ZIEMCZONEK;Zagroda;ulica Sędziowska;54;42;30.05.1934;34053056853
Marcelina;JELENIEWSKA-CHMARA;Borysówka;Park Olszyna;22;35;13.05.1989;89051371268
Barbara;DUCHA;Buk Góralski;ulica Władysława Broniewskiego;44;94;27.04.1940;40042748525
Jakub;VDOVYCHENKO;Gapowo;ulica Pelikanów;11;80;14.04.1936;36041461507
Zofia;PIEŃDAK;Dyle;ulica Jana Młota;63;63;24.08.1946;46082475087
Dominik;RYFCZYŃSKI;Smęgorzów;ulica Literacka;7;44;23.06.1971;71062387283
Dawid;URINOWSKI;Patoki;ulica Rosochata;42;83;18.03.1972;72031869500
Helena;TROSHCHYNSKA;Glinik;ulica Antka Rozpylacza;62;99;29.07.1918;18072996293
Alan;NAŁĘCZ-MROZOWSKI;Dół;ulica Estragonowa;72;3;11.04.1962;62041129611
Dominik;BAYGIROV;Pod Łążynek;ulica Łokciowa;16;48;12.02.1979;79021240175
Paweł;ARIFOVIĆ;Nowy Patok;ulica Hajnowska;44;63;25.10.1985;85102582421
Kaja;NEKROTIUK;Gałków Duży;ulica Elżbiety Barszczewskiej;33;87;18.10.1917;17101823829
Dominika;LEGNER;Laskowa;ulica Kwietniowa;34;19;14.02.1972;72021487146
Aleksandra;ŁANDA;Kazimierz Dolny;ulica Buławy;94;80;06.04.1976;76040699355
Tymoteusz;KANKA;Balcarki;ulica Władysława Bełzy;71;50;17.12.1928;28121724981
Julia;MIKULAK;Halinów;Rondo Dżochara Dudajewa;17;81;25.05.1938;38052580850
Barbara;MAJCZYK;Sokołów Małopolski;ulica Koryncka;16;54;08.11.1969;69110826236
Martyna;BOMBERA;Kamilówka;ulica Na Uboczu;67;43;07.09.1921;21090751766
Sebastian;BALZI;Emilków;ulica Odrzykońska;95;35;14.01.1911;11011485855
Dominika;DŁUBAKOWSKA;Niwy;ulica Bruzdowa;22;43;01.07.1944;44070190658
Jagoda;GMYREK;Długie;ulica Józefa Chełmońskiego;2;11;02.12.1990;90120234934
Oliwia;FRONCHEK;Rudna Mała;ulica Rybacka;22;41;27.06.1927;27062759810
Agata;JUCHNIEWSKA;Duszna Górka;ulica Gonionego;85;81;29.02.1925;25022926733
Michał;ASTAFICHEV;Wąsy-Kolonia;ulica Masztalerska;39;63;18.07.1910;10071879395
Maciej;DĘGA;Gozd;ulica Epokowa;26;50;29.02.1948;48022930334
Patrycja;KAREK;Łupinka;ulica Juliana Smulikowskiego;80;42;22.12.1963;63122236802
Izabela;HOPEK;Żółwiniec;Bulwar gen. George'a Smitha Pattona;59;5;13.02.1989;89021395442
Julia;DUDEK-WOŹNIAK;Pasze;Aleja Przyjaciół;92;73;20.03.1917;17032076433
Jagoda;SERGOTT;Rosocha;ulica Płużańska;3;66;07.04.1999;99040771268
Miłosz;SERVYNSKYI;Nadzieja;ulica Cieplicka;60;71;24.02.1981;81022435575
Łukasz;SZAFARYN;Marcelin;ulica Leśna;78;100;02.02.1949;49020234802
Wojciech;STRZELECKI-HORST;Potoczny;ulica Strzelecka;11;86;16.04.1986;86041680121
Krystian;MAJRAN;Czumów;ulica Ossolińskich;15;29;22.12.1944;44122248171
Aleksandra;YANINA;Lisa Młyn;ulica Prymasa Augusta Hlonda;18;79;20.08.1950;50082052278
Stanisław;GWÓŹDZ;Tomaszów;ulica Horacego;34;70;15.11.1951;51111524899
Marta;JOŁDA;Walenczyzna;ulica Gustawa Morcinka;69;17;27.03.1974;74032789247
Kornelia;GRODEK;Zofiówka;ulica Jazdów;75;43;05.06.1931;31060568970
Julian;RACZYNIAK;Płochocin-Osiedle;ulica Tylna;88;45;04.02.1984;84020486275
Barbara;HUZUMANIUK;Tajno Łanowe;ulica Bursztynowa;92;88;06.08.1924;24080628625
Kaja;BAVOROVSKA;Złamany Most;ulica Stanisławowska;39;40;13.02.1931;31021316927
Tymoteusz;GRYGOROSHYNA;Mała Strona;ulica Na Skraju;32;91;12.05.1960;60051242065
Nikola;SHAABAN;Gronowo;ulica Szymona Zimorowica;56;97;28.05.1944;44052813187
Franciszek;POLUMATSKANYCH;Parzeńsko;ulica Cieplarniana;83;92;25.02.2000;00022574203
Wojciech;GRODZIEWICZ;Cieszyn;ulica Laskowa;57;98;22.04.1965;65042213095
Marta;ANDREJKIN;Gajówka;Rynek Mariensztacki;13;29;02.05.1949;49050260103
Sebastian;CACIOPPO;Kolonia;ulica Wolska;78;53;04.01.1964;64010470300
Sebastian;YERANOSYAN;Wysocarz;ulica kpt. Władysława Raginisa;56;15;29.06.1916;16062975387
Oliwia;KRZYLEWSKA;Nawsie;Aleja Beaty Obertyńskiej;63;16;28.10.1938;38102839201
Gabriela;WOJKSZNIA;Młynki;ulica Jana Kossakowskiego;18;96;02.10.1919;19100297677
Adam;ŁĘŻYŃSKI;Ogrodna;ulica Jamesa Joyce'a;61;31;24.05.1994;94052411455
Kornelia;REMIZAVA;Podlas;ulica Andrzeja Szomańskiego;79;59;21.06.1925;25062188331
Kornelia;POTAPCZYŃSKA;Dachnów;Rondo ks. Wacława Karłowicza;77;48;27.01.1959;59012777006
Katarzyna;PERDRIZET;Łasieczniki;ulica Migdałowa;68;34;26.04.1960;60042698179
Maria;SKUP-KRZEMIŃSKA;Gniazdków;ulica Antyczna;84;64;21.11.1933;33112164913
Marcel;STRAUB;Podradziejów;ulica Andrzeja Pszenickiego;44;21;08.11.1940;40110898879
Julian;SAFONENKO;Wandowo;ulica Polanki;96;22;27.08.1934;34082767980
Filip;SZYMNOWSKI;Za Wodą;ulica Przygodna;78;91;04.03.2000;00030411235
Mikołaj;LYULYA;Dąbrowica Mała;ulica Kowieńska;32;76;04.05.1966;66050424996
